year,city,country,avg_temp
1828,Seattle,United States,7.13
1829,Seattle,United States,6.80
1830,Seattle,United States,
1831,Seattle,United States,
1832,Seattle,United States,3.52
1833,Seattle,United States,7.48
1834,Seattle,United States,7.10
1835,Seattle,United States,5.58
1836,Seattle,United States,6.74
1837,Seattle,United States,6.81
1838,Seattle,United States,6.59
1839,Seattle,United States,7.30
1840,Seattle,United States,6.69
1841,Seattle,United States,6.81
1842,Seattle,United States,6.88
1843,Seattle,United States,6.55
1844,Seattle,United States,6.41
1845,Seattle,United States,6.88
1846,Seattle,United States,
1847,Seattle,United States,8.99
1848,Seattle,United States,6.60
1849,Seattle,United States,6.68
1850,Seattle,United States,7.06
1851,Seattle,United States,7.79
1852,Seattle,United States,7.08
1853,Seattle,United States,7.61
1854,Seattle,United States,6.99
1855,Seattle,United States,7.31
1856,Seattle,United States,7.44
1857,Seattle,United States,7.91
1858,Seattle,United States,6.91
1859,Seattle,United States,6.27
1860,Seattle,United States,7.63
1861,Seattle,United States,7.18
1862,Seattle,United States,6.36
1863,Seattle,United States,7.44
1864,Seattle,United States,7.64
1865,Seattle,United States,7.05
1866,Seattle,United States,7.39
1867,Seattle,United States,7.12
1868,Seattle,United States,6.99
1869,Seattle,United States,8.33
1870,Seattle,United States,7.85
1871,Seattle,United States,7.97
1872,Seattle,United States,7.34
1873,Seattle,United States,7.47
1874,Seattle,United States,7.32
1875,Seattle,United States,6.90
1876,Seattle,United States,7.12
1877,Seattle,United States,8.14
1878,Seattle,United States,7.89
1879,Seattle,United States,6.74
1880,Seattle,United States,5.95
1881,Seattle,United States,6.86
1882,Seattle,United States,6.88
1883,Seattle,United States,6.97
1884,Seattle,United States,6.81
1885,Seattle,United States,8.66
1886,Seattle,United States,7.85
1887,Seattle,United States,6.77
1888,Seattle,United States,7.73
1889,Seattle,United States,8.08
1890,Seattle,United States,7.03
1891,Seattle,United States,7.61
1892,Seattle,United States,7.54
1893,Seattle,United States,6.16
1894,Seattle,United States,6.88
1895,Seattle,United States,7.26
1896,Seattle,United States,7.20
1897,Seattle,United States,7.50
1898,Seattle,United States,7.60
1899,Seattle,United States,7.08
1900,Seattle,United States,7.95
1901,Seattle,United States,7.27
1902,Seattle,United States,7.33
1903,Seattle,United States,6.98
1904,Seattle,United States,7.70
1905,Seattle,United States,7.59
1906,Seattle,United States,7.99
1907,Seattle,United States,7.28
1908,Seattle,United States,7.32
1909,Seattle,United States,6.52
1910,Seattle,United States,7.24
1911,Seattle,United States,6.73
1912,Seattle,United States,7.43
1913,Seattle,United States,6.99
1914,Seattle,United States,7.92
1915,Seattle,United States,8.13
1916,Seattle,United States,6.23
1917,Seattle,United States,7.25
1918,Seattle,United States,7.85
1919,Seattle,United States,6.94
1920,Seattle,United States,7.19
1921,Seattle,United States,7.20
1922,Seattle,United States,6.66
1923,Seattle,United States,7.82
1924,Seattle,United States,7.46
1925,Seattle,United States,8.26
1926,Seattle,United States,8.72
1927,Seattle,United States,7.30
1928,Seattle,United States,7.86
1929,Seattle,United States,6.96
1930,Seattle,United States,7.23
1931,Seattle,United States,8.00
1932,Seattle,United States,7.37
1933,Seattle,United States,7.06
1934,Seattle,United States,9.04
1935,Seattle,United States,7.33
1936,Seattle,United States,7.67
1937,Seattle,United States,7.39
1938,Seattle,United States,8.12
1939,Seattle,United States,8.25
1940,Seattle,United States,8.81
1941,Seattle,United States,8.83
1942,Seattle,United States,8.10
1943,Seattle,United States,7.51
1944,Seattle,United States,7.84
1945,Seattle,United States,7.57
1946,Seattle,United States,7.39
1947,Seattle,United States,8.03
1948,Seattle,United States,6.68
1949,Seattle,United States,7.05
1950,Seattle,United States,6.77
1951,Seattle,United States,7.33
1952,Seattle,United States,7.56
1953,Seattle,United States,8.11
1954,Seattle,United States,7.04
1955,Seattle,United States,6.09
1956,Seattle,United States,7.18
1957,Seattle,United States,7.52
1958,Seattle,United States,9.28
1959,Seattle,United States,7.50
1960,Seattle,United States,7.51
1961,Seattle,United States,8.12
1962,Seattle,United States,7.66
1963,Seattle,United States,7.91
1964,Seattle,United States,6.83
1965,Seattle,United States,7.91
1966,Seattle,United States,7.88
1967,Seattle,United States,8.38
1968,Seattle,United States,7.73
1969,Seattle,United States,7.51
1970,Seattle,United States,7.55
1971,Seattle,United States,7.10
1972,Seattle,United States,7.09
1973,Seattle,United States,7.58
1974,Seattle,United States,7.72
1975,Seattle,United States,7.09
1976,Seattle,United States,7.46
1977,Seattle,United States,7.63
1978,Seattle,United States,7.78
1979,Seattle,United States,7.88
1980,Seattle,United States,7.75
1981,Seattle,United States,8.23
1982,Seattle,United States,7.35
1983,Seattle,United States,7.94
1984,Seattle,United States,7.41
1985,Seattle,United States,6.71
1986,Seattle,United States,8.25
1987,Seattle,United States,8.67
1988,Seattle,United States,8.10
1989,Seattle,United States,7.87
1990,Seattle,United States,8.09
1991,Seattle,United States,8.20
1992,Seattle,United States,9.03
1993,Seattle,United States,7.68
1994,Seattle,United States,8.35
1995,Seattle,United States,8.62
1996,Seattle,United States,7.61
1997,Seattle,United States,8.41
1998,Seattle,United States,8.70
1999,Seattle,United States,7.79
2000,Seattle,United States,7.72
2001,Seattle,United States,7.90
2002,Seattle,United States,8.03
2003,Seattle,United States,8.74
2004,Seattle,United States,9.04
2005,Seattle,United States,8.57
2006,Seattle,United States,8.49
2007,Seattle,United States,8.04
2008,Seattle,United States,7.57
2009,Seattle,United States,8.02
2010,Seattle,United States,8.25
2011,Seattle,United States,7.35
2012,Seattle,United States,8.08
2013,Seattle,United States,9.95
